ExperimentName,subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,pathlength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli1,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,RTRecogniseTarget
NetworksDemasking,1,1,S1,47,6,-0.781,-0.427,-0.135,-0.218,A1,8.196,8.514,28.280085,-0.1765,8,8.355,-0.604,1,O U T R A G E O U S,outrageous{SPACE},2132,1,A B S U R D,absurd{SPACE},1790,1,1,1,2784,1130
NetworksDemasking,1,1,S1,241,4,-0.496,0.121,-0.524,-0.414,A2,10.593,6.952,18.741921,-0.469,7.5,8.7725,-0.1875,3,R E V I E W,review{SPACE},1066,2,A D J E C T I V E,adjective{SPACE},2369,3,1,1,1407,1381
NetworksDemasking,1,1,S1,144,2,-0.545,-0.687,-0.524,-0.359,A3,8.626,6.965,8.204051,-0.4415,4.5,7.7955,-0.616,1,L U S T,lust{SPACE},1060,3,A D O R E,adore{SPACE},913,2,1,1,2635,1248
NetworksDemasking,1,1,S1,73,2,-0.201,-0.644,-0.196,-0.748,A4,8.9,12.428,11.530092,-0.472,5.5,10.664,-0.4225,2,E N G A G E,engage{SPACE},2296,4,A G A I N,again{SPACE},928,2,1,1,2389,1979
NetworksDemasking,1,1,S1,125,4,-0.319,-0.449,-0.181,-0.402,A5,6.494,7.834,15.125296,-0.2915,8,7.164,-0.384,6,F O R E S I G H T,foresight{SPACE},2482,5,A L G E B R A,algebra{SPACE},1222,3,1,1,2101,1421
NetworksDemasking,1,1,S1,127,5,-0.236,-0.692,-0.492,-0.606,A6,7.712,8.977,21.317842,-0.549,5.5,8.3445,-0.464,15,M A G N E T,magnet{SPACE},1022,6,A L T E R,alter{SPACE},900,4,1,1,1597,1451
NetworksDemasking,1,1,S1,109,4,-0.422,-0.337,-0.484,0.014,A7,7.594,7.244,19.03707,-0.235,6.5,7.419,-0.3795,6,F U S S,fuss{SPACE},774,7,A M B U L A N C E,ambulance{SPACE},1704,3,1,1,2287,1340
NetworksDemasking,1,1,S1,50,4,-0.641,-0.405,-0.609,-0.666,A8,11.247,7.925,23.135463,-0.6375,6.5,9.586,-0.523,6,R E L E A S E,release{SPACE},1356,8,A N C H O R,anchor{SPACE},1097,2,1,1,1244,1291
NetworksDemasking,1,1,S1,37,2,-0.275,-0.64,-0.409,-0.735,A9,8.821,11.601,9.472488,-0.572,6.5,10.211,-0.4575,2,P R E C I S E,precise{SPACE},1129,9,A N S W E R,answer{SPACE},980,2,1,1,1658,1202
NetworksDemasking,1,1,S1,173,2,-0.434,-0.522,-0.182,-0.515,A10,7.368,9.101,5.813069,-0.3485,8,8.2345,-0.478,1,M A N S I O N,mansion{SPACE},1157,10,A P A R T M E N T,apartment{SPACE},1626,2,1,1,1769,1759
NetworksDemasking,1,1,S1,139,5,-0.629,-0.466,-0.666,-0.458,A11,9.547,9.473,22.787842,-0.562,7.5,9.51,-0.5475,2,N A S T Y,nasty{SPACE},862,11,A P P E A R A N C E,appearanec{SPACE},1515,2,1,1,1229,1325
NetworksDemasking,1,1,S1,38,5,-0.321,0.066,-0.458,0.149,A12,9.165,5.394,22.484811,-0.1545,8,7.2795,-0.1275,3,I N S T A N T,instant{SPACE},1087,12,A P P E N D A G E,appendage{SPACE},1727,4,1,1,1179,1066
