"","Mask1.RESP.Trial.","Mask2.RESP.Trial.","Mask3.RESP.Trial.","Mask4.RESP.Trial.","Mask5.RESP.Trial.","Mask6.RESP.Trial.","Mask7.RESP.Trial.","Mask8.RESP.Trial.","Mask9.RESP.Trial.","Mask10.RESP.Trial.","Mask11.RESP.Trial.","Mask12.RESP.Trial.","Mask13.RESP.Trial.","Mask14.RESP.Trial.","Mask15.RESP.Trial.","Mask16.RESP.Trial.","Mask17.RESP.Trial.","Mask18.RESP.Trial.","Mask1.RT.Trial.","Mask2.RT.Trial.","Mask3.RT.Trial.","Mask4.RT.Trial.","Mask5.RT.Trial.","Mask6.RT.Trial.","Mask7.RT.Trial.","Mask8.RT.Trial.","Mask9.RT.Trial.","Mask10.RT.Trial.","Mask11.RT.Trial.","Mask12.RT.Trial.","Mask13.RT.Trial.","Mask14.RT.Trial.","Mask15.RT.Trial.","Mask16.RT.Trial.","Mask17.RT.Trial.","Mask18.RT.Trial."
"1",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,98,229,72,0,15,0,0,207,0,0,0,0,0,78
"2",0,0,"0","0","0","{SPACE}","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,417,0,0,0,0,0,207,0,0,0,0,0,78
"3",0,0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,407,239,340,164,0,0,0,0,207,0,0,0,0,0,78
"4",0,0,"0","0","{SPACE}","{SPACE}","0","0","0",0,0,"0",0,0,0,"0",0,"{SPACE}",0,0,0,0,355,197,0,0,0,0,0,0,0,0,0,0,0,78
"5",0,0,"0","{SPACE}","0","0","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,387,0,0,0,0,0,0,0,207,0,0,0,0,0,78
"6",0,0,"0","0","{SPACE}","0","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,110,0,135,0,15,0,0,207,0,0,0,0,0,78
"7",0,0,"0","0","0","{SPACE}","{SPACE}","0","{SPACE}",0,0,"0",0,0,0,"0",0,"0",0,0,0,0,0,406,297,0,203,0,0,0,0,0,0,0,0,0
"8",0,0,"0","{SPACE}","0","0","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,209,0,0,107,0,169,0,0,207,0,0,0,0,0,78
"9",0,0,"0","0","0","0","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,78
"10",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"0",0,"{SPACE}",0,0,0,0,230,333,350,0,0,0,0,0,0,0,0,0,0,78
"11",0,0,"0","0","0","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,333,350,0,0,0,0,0,0,0,0,0,0,78
"12",0,0,"0","{SPACE}","0","0","0","0","0",0,0,"0",0,0,0,"0",0,"{SPACE}",0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,78
"13",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,351,169,164,0,15,0,0,207,0,0,0,0,0,78
"14",0,0,"{SPACE}","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,238,290,149,56,72,0,15,0,0,207,0,0,0,0,0,78
"15",0,0,"0","0","{SPACE}","0","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,276,0,0,0,0,0,0,207,0,0,0,0,0,78
"16",0,0,"0","0","0","{SPACE}","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,310,0,0,0,0,0,207,0,0,0,0,0,78
"17",0,0,"0","0","0","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,102,107,0,169,0,0,207,0,0,0,0,0,78
"18",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,227,247,218,0,0,0,0,0,0,0,0,120,0,78
"19",0,0,"0","0","0","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,0,155,9,0,0,0,0,0,0,0,0,120,0,78
"20",0,0,"0","0","{SPACE}","0","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,49,0,135,0,15,0,0,207,0,0,0,0,0,78
"21",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,29,107,9,0,0,0,0,0,0,0,0,120,0,78
"22",0,0,"0","0","0","0","0","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,0,0,0,169,0,0,207,0,0,0,0,0,78
"23",0,0,"0","0","0","0","0","0","{SPACE}",0,0,"0",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,78
"24",0,0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,219,24,107,9,0,0,0,0,0,0,0,0,120,0,78
"25",0,0,"0","0","0","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,236,72,0,15,0,0,207,0,0,0,0,0,78
"26",0,0,"0","0","0","{SPACE}","0","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,102,0,0,15,0,0,207,0,0,0,0,0,78
"27",0,0,"0","0","0","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,120,0,78
"28",0,0,"0","0","{SPACE}","0","0","0","0",0,0,"0",0,0,0,"0",0,"{SPACE}",0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,78
"29",0,0,"0","0","0","0","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,78
"30",0,0,"0","0","0","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,229,72,0,15,0,0,207,0,0,0,0,0,78
"31",0,0,"0","{SPACE}","0","0","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,148,0,0,164,0,15,0,0,207,0,0,0,0,0,78
"32",0,0,"0","0","0","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,120,0,78
"33",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,215,155,9,0,0,0,0,0,0,0,0,120,0,78
"34",0,0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,290,149,56,72,0,15,0,0,207,0,0,0,0,0,78
"35",0,0,"0","0","0","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,120,0,78
"36",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,43,190,0,9,0,0,0,0,0,0,0,0,120,0,78
"37",0,0,"0","0","{SPACE}","{SPACE}","0","0","0",0,0,"0",0,0,0,"0",0,"{SPACE}",0,0,0,0,199,230,0,0,0,0,0,0,0,0,0,0,0,78
"38",0,0,"0","0","{SPACE}","0","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,108,0,135,0,15,0,0,207,0,0,0,0,0,78
"39",0,0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,262,41,86,9,0,0,0,0,0,0,0,0,120,0,78
"40",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,162,64,264,0,15,0,0,207,0,0,0,0,0,78
"41",0,0,"0","0","{SPACE}","0","0","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,290,0,0,0,15,0,0,207,0,0,0,0,0,78
"42",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,171,107,9,0,0,0,0,0,0,0,0,120,0,78
"43",0,0,"0","0","0","0","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,0,264,0,15,0,0,207,0,0,0,0,0,78
"44",0,0,"0","0","0","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,64,264,0,15,0,0,207,0,0,0,0,0,78
"45",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,115,91,0,9,0,0,0,0,0,0,0,0,120,0,78
"46",0,0,"0","0","0","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,120,0,78
"47",0,0,"0","0","{SPACE}","0","0","0","0",0,0,"0",0,0,0,"0",0,"{SPACE}",0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,78
"48",0,0,"0","0","{SPACE}","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,120,0,78
"49",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,118,352,9,0,0,0,0,0,0,0,0,120,0,78
"50",0,0,"0","0","0","{SPACE}","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,139,0,0,0,0,0,207,0,0,0,0,0,78
"51",0,0,"0","0","{SPACE}","0","0","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,219,0,0,0,15,0,0,207,0,0,0,0,0,78
"52",0,0,"0","0","{SPACE}","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,189,0,9,0,0,0,0,0,0,0,0,120,0,78
"53",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,187,340,164,0,0,0,0,207,0,0,0,0,0,78
"54",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,75,340,164,0,0,0,0,207,0,0,0,0,0,78
"55",0,0,"0","0","0","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,169,164,0,15,0,0,207,0,0,0,0,0,78
"56",0,0,"0","{SPACE}","{SPACE}","0","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,333,276,0,0,0,0,0,0,207,0,0,0,0,0,78
"57",0,0,"{SPACE}","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,295,290,149,56,72,0,15,0,0,207,0,0,0,0,0,78
"58",0,0,"0","0","{SPACE}","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,432,0,9,0,0,0,0,0,0,0,0,120,0,78
"59",0,0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,239,29,107,9,0,0,0,0,0,0,0,0,120,0,78
"60",0,0,"0","0","{SPACE}","{SPACE}","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,139,331,0,0,0,0,0,207,0,0,0,0,0,78
"61",0,0,"0","0","0","{SPACE}","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,331,0,0,0,0,0,207,0,0,0,0,0,78
"62",0,0,"0","{SPACE}","0","0","0","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,176,0,0,0,0,15,0,0,207,0,0,0,0,0,78
"63",0,0,"0","{SPACE}","0","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,276,0,236,72,0,15,0,0,207,0,0,0,0,0,78
"64",0,0,"0","0","0","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,120,0,78
"65",0,0,"0","{SPACE}","0","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,318,0,102,107,0,169,0,0,207,0,0,0,0,0,78
"66",0,0,"0","0","{SPACE}","0","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,201,0,0,0,0,0,0,207,0,0,0,0,0,78
"67",0,0,"0","0","0","0","0","0","{SPACE}",0,0,"0",0,0,0,"0",0,"0",0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0
"68",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,178,107,9,0,0,0,0,0,0,0,0,120,0,78
"69",0,0,"0","0","0","{SPACE}","{SPACE}","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,117,164,0,0,0,0,207,0,0,0,0,0,78
"70",0,0,"0","{SPACE}","{SPACE}","0","0","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,188,64,0,0,0,15,0,0,207,0,0,0,0,0,78
"71",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,311,229,72,0,15,0,0,207,0,0,0,0,0,78
"72",0,0,"0","0","0","0","0","{SPACE}","0",0,0,"0",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,78
"73",0,0,"0","0","{SPACE}","0","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,137,0,135,0,15,0,0,207,0,0,0,0,0,78
"74",0,0,"0","0","{SPACE}","0","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,276,0,0,0,0,0,0,207,0,0,0,0,0,78
"75",0,0,"0","0","{SPACE}","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,195,0,9,0,0,0,0,0,0,0,0,120,0,78
"76",0,0,"0","{SPACE}","0","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,34,0,44,9,0,0,0,0,0,0,0,0,120,0,78
"77",0,0,"0","0","0","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,198,72,0,15,0,0,207,0,0,0,0,0,78
"78",0,0,"0","0","{SPACE}","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,238,0,9,0,0,0,0,0,0,0,0,120,0,78
"79",0,0,"0","0","0","0","0","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,78
"80",0,0,"0","0","{SPACE}","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,91,0,9,0,0,0,0,0,0,0,0,120,0,78
"81",0,0,"0","{SPACE}","0","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,170,0,155,9,0,0,0,0,0,0,0,0,120,0,78
"82",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,145,43,0,9,0,0,0,0,0,0,0,0,120,0,78
"83",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,62,64,264,0,15,0,0,207,0,0,0,0,0,78
"84",0,0,"0","{SPACE}","{SPACE}","0","0","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,253,24,0,0,0,15,0,0,207,0,0,0,0,0,78
"85",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,219,236,72,0,15,0,0,207,0,0,0,0,0,78
"86",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,41,86,9,0,0,0,0,0,0,0,0,120,0,78
"87",0,0,"0","0","0","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,56,107,0,169,0,0,207,0,0,0,0,0,78
"88",0,0,"0","0","0","0","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,0,135,0,15,0,0,207,0,0,0,0,0,78
"89",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,27,91,0,9,0,0,0,0,0,0,0,0,120,0,78
"90",0,0,"0","{SPACE}","0","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,245,0,86,9,0,0,0,0,0,0,0,0,120,0,78
"91",0,0,"0","0","0","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,0,107,9,0,0,0,0,0,0,0,0,120,0,78
"92",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,258,86,9,0,0,0,0,0,0,0,0,120,0,78
"93",0,0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,145,40,11,9,0,0,0,0,0,0,0,0,120,0,78
"94",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,149,56,72,0,15,0,0,207,0,0,0,0,0,78
"95",0,0,"0","{SPACE}","{SPACE}","{SPACE}","0","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,264,237,102,0,0,15,0,0,207,0,0,0,0,0,78
"96",0,0,"0","{SPACE}","0","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,279,0,155,9,0,0,0,0,0,0,0,0,120,0,78
"97",0,0,"{SPACE}","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,288,0,171,107,9,0,0,0,0,0,0,0,0,120,0,78
"98",0,0,"0","0","0","{SPACE}","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,182,0,0,0,0,0,207,0,0,0,0,0,78
"99",0,0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,246,181,87,9,0,0,0,0,0,0,0,0,120,0,78
"100",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,251,214,0,107,0,169,0,0,207,0,0,0,0,0,78
"101",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,16,86,9,0,0,0,0,0,0,0,0,120,0,78
"102",0,0,"{SPACE}","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,245,244,24,107,9,0,0,0,0,0,0,0,0,120,0,78
"103",0,0,"0","0","0","0","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,78
"104",0,0,"0","0","0","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,0,0,44,9,0,0,0,0,0,0,0,0,120,0,78
"105",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,282,319,0,135,0,15,0,0,207,0,0,0,0,0,78
"106",0,0,"0","0","0","{SPACE}","0","0","0",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,0,308,0,0,0,0,0,207,0,0,0,0,0,78
"107",0,0,"0","0","{SPACE}","0","0","0","{SPACE}",0,0,"{SPACE}",0,0,0,"0",0,"{SPACE}",0,0,0,0,64,0,0,0,15,0,0,207,0,0,0,0,0,78
"108",0,0,"0","{SPACE}","0","{SPACE}","{SPACE}","0","0",0,0,"0",0,0,0,"{SPACE}",0,"{SPACE}",0,0,0,49,0,44,9,0,0,0,0,0,0,0,0,120,0,78
