,PrimeMaskNo,PrimeNo,TargetMaskNo,TargetNo,PrimeMaskRT,PrimeNoRT,TargetMaskRT,TargetNoRT,RTrecognisePrime,RTrecogniseTarget,RTrecognisePrime,RTrecogniseTarget
1,3,99,3,99,413,NA,71,NA,1445,1103,1445,1103
2,3,14,3,99,26,168,119,NA,1058,1151,1058,1151
3,3,14,3,99,86,168,258,NA,1118,1290,1118,1290
4,3,99,3,4,182,NA,209,30,1214,1241,1214,1241
5,8,5,4,99,151,46,351,NA,2110,1899,2110,1899
6,6,99,3,99,319,NA,45,NA,2899,1077,2899,1077
7,5,14,3,5,405,168,69,10,2469,1101,2469,1101
8,2,14,4,2,430,168,170,31,946,547,946,547
9,5,99,3,99,422,NA,342,NA,2486,1374,2486,1374
10,6,2,3,5,173,6,28,69,522,1060,522,1060
11,3,99,2,99,72,NA,450,NA,1104,966,1104,966
12,7,99,3,99,52,NA,72,NA,3148,1104,3148,1104
13,2,10,3,99,385,135,184,NA,901,1216,901,1216
14,2,14,3,99,479,168,137,NA,995,1169,995,1169
15,3,99,4,99,76,NA,129,NA,1108,1677,1108,1677
16,2,99,2,99,339,NA,397,NA,855,913,855,913
17,3,99,3,4,90,NA,31,43,1122,1063,1122,1063
18,3,14,3,99,68,168,145,NA,1100,1177,1100,1177
19,5,3,5,3,47,12,37,46,1044,1078,1044,1078
20,4,99,7,4,84,NA,31,27,1632,1575,1632,1575
21,2,10,2,99,350,135,475,NA,866,991,866,991
22,3,14,4,5,203,168,96,69,1235,1644,1235,1644
23,2,99,2,99,477,NA,440,NA,993,956,993,956
24,3,10,5,99,199,135,94,NA,1231,2158,1231,2158
25,3,99,3,99,249,NA,126,NA,1281,1158,1281,1158
26,6,99,5,99,76,NA,104,NA,2656,2168,2656,2168
27,4,99,3,99,142,NA,191,NA,1690,1223,1690,1223
28,3,5,3,99,134,6,155,NA,1166,1187,1166,1187
29,3,14,3,99,106,168,53,NA,1138,1085,1138,1085
30,3,14,3,5,103,168,103,69,1135,1135,1135,1135
31,5,99,99,3,134,NA,NA,34,2198,1066,2198,1066
32,4,99,3,99,72,NA,113,NA,1620,1145,1620,1145
33,3,10,3,99,177,135,24,NA,1209,1056,1209,1056
34,3,99,3,6,61,NA,102,9,1093,1134,1093,1134
35,2,99,5,99,443,NA,402,NA,959,2466,959,2466
36,2,14,3,99,349,168,53,NA,865,1085,865,1085
37,4,99,4,2,59,NA,66,22,1607,538,1607,538
38,4,99,4,99,277,NA,137,NA,1825,1685,1825,1685
39,2,99,4,99,327,NA,133,NA,843,1681,843,1681
40,4,99,5,99,100,NA,377,NA,1648,2441,1648,2441
41,4,14,3,5,61,168,63,10,1609,1095,1609,1095
42,2,10,2,99,326,135,288,NA,842,804,842,804
43,5,99,3,6,19,NA,125,9,2083,1157,2083,1157
44,3,99,3,99,18,NA,53,NA,1050,1085,1050,1085
45,3,99,3,99,27,NA,146,NA,1059,1178,1059,1178
46,3,99,3,99,210,NA,120,NA,1242,1152,1242,1152
47,5,99,3,99,53,NA,207,NA,2117,1239,2117,1239
48,3,99,3,2,16,NA,434,6,1048,522,1048,522
49,8,99,5,99,151,NA,73,NA,3763,2137,3763,2137
50,3,14,3,5,41,168,156,69,1073,1188,1073,1188
51,2,99,2,4,457,NA,441,55,973,957,973,957
52,6,4,3,99,319,34,435,NA,1582,1467,1582,1467
53,3,99,3,4,107,NA,66,52,1139,1098,1139,1098
54,12,99,3,99,94,NA,118,NA,5770,1150,5770,1150
55,2,99,2,99,431,NA,360,NA,947,876,947,876
56,5,99,4,99,189,NA,46,NA,2253,1594,2253,1594
57,2,99,3,6,478,NA,50,9,994,1082,994,1082
58,3,99,3,4,88,NA,400,43,1120,1432,1120,1432
59,5,14,3,5,408,168,6,10,2472,1038,2472,1038
60,3,99,2,99,13,NA,429,NA,1045,945,1045,945
61,5,99,3,99,51,NA,301,NA,2115,1333,2115,1333
62,2,10,2,99,455,135,366,NA,971,882,971,882
63,2,99,2,99,280,NA,375,NA,796,891,796,891
64,9,2,3,4,102,18,133,43,534,1165,534,1165
65,3,99,2,4,32,NA,398,43,1064,914,1064,914
66,5,99,3,99,94,NA,122,NA,2158,1154,2158,1154
67,3,99,3,99,36,NA,77,NA,1068,1109,1068,1109
68,9,5,5,99,102,15,35,NA,2079,2099,2079,2099
69,3,14,4,2,60,168,8,12,1092,528,1092,528
70,2,10,2,99,458,135,401,NA,974,917,974,917
71,5,2,6,99,172,19,205,NA,535,2785,535,2785
72,5,99,4,99,229,NA,248,NA,2293,1796,2293,1796
73,7,5,2,99,52,11,441,NA,2075,957,2075,957
74,3,99,4,99,28,NA,132,NA,1060,1680,1060,1680
75,3,5,3,99,136,15,12,NA,1168,1044,1168,1044
76,4,99,4,99,143,NA,115,NA,1691,1663,1691,1663
77,4,14,3,99,126,168,129,NA,1674,1161,1674,1161
78,5,99,5,99,87,NA,98,NA,2151,2162,2151,2162
79,4,2,3,99,93,15,20,NA,531,1052,531,1052
80,3,99,7,99,83,NA,38,NA,1115,3134,1115,3134
81,99,5,5,99,NA,6,17,NA,2070,2081,2070,2081
82,2,99,6,99,400,NA,244,NA,916,2824,916,2824
83,3,99,3,99,8,NA,144,NA,1040,1176,1040,1176
84,3,14,3,5,135,168,173,10,1167,1205,1167,1205
85,5,3,5,99,47,25,85,NA,1057,2149,1057,2149
86,2,99,3,99,482,NA,38,NA,998,1070,998,1070
87,5,14,4,5,263,168,263,69,2327,1811,2327,1811
88,4,2,3,5,299,17,71,10,533,1103,533,1103
89,2,10,3,99,411,135,58,NA,927,1090,927,1090
90,4,99,5,99,195,NA,321,NA,1743,2385,1743,2385
91,5,99,5,99,142,NA,90,NA,2206,2154,2206,2154
92,4,2,3,99,59,10,84,NA,526,1116,526,1116
93,3,99,5,99,76,NA,67,NA,1108,2131,1108,2131
94,3,14,3,99,64,168,36,NA,1096,1068,1096,1068
95,3,10,2,99,128,135,390,NA,1160,906,1160,906
96,4,99,4,99,284,NA,57,NA,1832,1605,1832,1605
97,3,5,5,99,346,11,149,NA,1378,2213,1378,2213
98,4,99,5,99,62,NA,57,NA,1610,2121,1610,2121
99,3,99,3,99,131,NA,190,NA,1163,1222,1163,1222
100,8,99,4,99,208,NA,84,NA,3820,1632,3820,1632
101,3,99,4,99,215,NA,124,NA,1247,1672,1247,1672
102,2,99,4,99,448,NA,181,NA,964,1729,964,1729
103,3,10,3,99,77,135,87,NA,1109,1119,1109,1119
104,3,14,4,5,228,168,186,10,1260,1734,1260,1734
105,7,10,3,99,93,135,159,NA,3189,1191,3189,1191
106,6,14,3,5,173,168,248,69,2753,1280,2753,1280
107,3,5,5,99,99,13,61,NA,1131,2125,1131,2125
108,3,5,3,99,103,11,437,NA,1135,1469,1135,1469
109,3,99,3,99,51,NA,20,NA,1083,1052,1083,1052
110,5,99,3,4,316,NA,159,43,2380,1191,2380,1191
111,3,99,5,2,14,NA,346,16,1046,532,1046,532
112,3,99,6,99,92,NA,96,NA,1124,2676,1124,2676
113,3,14,6,99,128,168,9,NA,1160,2589,1160,2589
114,5,99,6,4,61,NA,51,30,2125,1578,2125,1578
115,3,99,3,4,124,NA,100,52,1156,1132,1156,1132
116,4,14,2,99,103,168,452,NA,1651,968,1651,968
117,3,5,3,99,77,46,168,NA,1109,1200,1109,1200
118,3,99,99,6,38,NA,NA,9,1070,2589,1070,2589
119,3,99,7,99,235,NA,31,NA,1267,3127,1267,3127
120,2,99,2,99,445,NA,442,NA,961,958,961,958
121,2,99,4,99,396,NA,135,NA,912,1683,912,1683
122,2,99,3,99,430,NA,10,NA,946,1042,946,1042
123,3,14,4,99,331,168,14,NA,1363,1562,1363,1562
124,4,2,3,99,84,26,17,NA,542,1049,542,1049
125,2,99,3,4,479,NA,118,43,995,1150,995,1150
126,3,99,4,99,95,NA,308,NA,1127,1856,1127,1856
127,4,14,3,99,58,168,51,NA,1606,1083,1606,1083
128,3,99,4,99,82,NA,187,NA,1114,1735,1114,1735
129,2,10,2,99,415,135,422,NA,931,938,931,938
130,3,99,5,99,46,NA,227,NA,1078,2291,1078,2291
131,3,99,3,6,53,NA,38,9,1085,1070,1085,1070
132,2,10,3,99,364,135,117,NA,880,1149,880,1149
133,3,99,3,99,130,NA,6,NA,1162,1038,1162,1038
134,4,14,3,99,299,168,123,NA,1847,1155,1847,1155
135,4,99,3,99,117,NA,103,NA,1665,1135,1665,1135
136,5,10,3,2,269,135,439,9,2333,525,2333,525
137,3,99,6,99,138,NA,82,NA,1170,2662,1170,2662
138,2,10,4,2,442,135,153,14,958,530,958,530
139,5,99,4,99,153,NA,87,NA,2217,1635,2217,1635
140,3,14,4,2,117,168,167,28,1149,544,1149,544
141,2,10,2,99,407,135,461,NA,923,977,923,977
142,3,14,4,99,282,168,76,NA,1314,1624,1314,1624
143,3,99,4,2,8,NA,65,21,1040,537,1040,537
144,3,99,4,99,237,NA,382,NA,1269,1930,1269,1930
145,2,99,3,99,429,NA,28,NA,945,1060,945,1060
146,5,99,3,99,45,NA,194,NA,2109,1226,2109,1226
147,5,2,3,99,422,10,130,NA,526,1162,526,1162
148,8,5,6,99,208,79,159,NA,2143,2739,2143,2739
149,3,10,3,99,47,135,153,NA,1079,1185,1079,1185
150,3,99,4,99,21,NA,94,NA,1053,1642,1053,1642
151,4,5,4,99,70,46,208,NA,1618,1756,1618,1756
152,3,99,3,4,6,NA,92,52,1038,1124,1038,1124
153,5,99,4,99,206,NA,194,NA,2270,1742,2270,1742
154,3,10,4,99,18,135,201,NA,1050,1749,1050,1749
155,4,99,2,99,87,NA,470,NA,1635,986,1635,986
156,5,99,3,99,117,NA,180,NA,2181,1212,2181,1212
157,2,99,2,99,340,NA,383,NA,856,899,856,899
158,5,14,4,99,368,168,89,NA,2432,1637,2432,1637
159,4,99,4,99,126,NA,115,NA,1674,1663,1674,1663
160,6,99,4,99,62,NA,70,NA,2642,1618,2642,1618
161,9,2,7,2,102,23,38,31,539,547,539,547
162,3,14,7,5,55,168,31,10,1087,2074,1087,2074
163,3,99,3,99,200,NA,77,NA,1232,1109,1232,1109
164,3,5,3,99,52,13,161,NA,1084,1193,1084,1193
165,2,14,3,5,424,168,171,10,940,1203,940,1203
166,3,99,2,99,10,NA,465,NA,1042,981,1042,981
167,5,99,3,99,172,NA,225,NA,2236,1257,2236,1257
168,4,99,3,4,82,NA,238,52,1630,1270,1630,1270
169,5,99,5,99,229,NA,37,NA,2293,2101,2293,2101
170,3,99,7,4,108,NA,38,52,1140,1600,1140,1600
171,5,99,7,99,113,NA,139,NA,2177,3235,2177,3235
172,4,99,4,6,373,NA,98,9,1921,1646,1921,1646
173,12,10,5,99,94,135,146,NA,4779,2210,4779,2210
174,99,14,3,99,NA,168,55,NA,6876,1087,6876,1087
175,3,99,3,99,171,NA,225,NA,1203,1257,1203,1257
176,3,10,2,99,125,135,469,NA,1157,985,1157,985
177,4,99,2,99,64,NA,472,NA,1612,988,1612,988
178,3,99,2,99,88,NA,442,NA,1120,958,1120,958
179,3,99,3,99,69,NA,14,NA,1101,1046,1101,1046
180,3,99,4,99,75,NA,99,NA,1107,1647,1107,1647
181,3,99,4,99,13,NA,72,NA,1045,1620,1045,1620
182,2,14,3,99,469,168,381,NA,985,1413,985,1413
183,9,2,2,4,102,20,475,43,536,991,536,991
184,4,99,3,4,57,NA,114,52,1605,1146,1605,1146
185,9,99,3,99,102,NA,258,NA,4230,1290,4230,1290
186,3,99,3,99,6,NA,63,NA,1038,1095,1038,1095
187,5,99,4,99,47,NA,143,NA,2111,1691,2111,1691
188,5,99,6,99,282,NA,51,NA,2346,2631,2346,2631
189,3,99,3,6,74,NA,165,9,1106,1197,1106,1197
190,3,99,4,99,300,NA,288,NA,1332,1836,1332,1836
191,2,10,2,99,404,135,454,NA,920,970,920,970
192,2,99,5,2,282,NA,233,31,798,547,798,547
193,3,99,3,99,131,NA,72,NA,1163,1104,1163,1104
194,2,10,6,99,369,135,16,NA,885,2596,885,2596
195,3,10,3,99,74,135,6,NA,1106,1038,1106,1038
196,3,99,4,99,206,NA,122,NA,1238,1670,1238,1670
197,3,10,2,99,56,135,405,NA,1088,921,1088,921
198,3,99,2,99,63,NA,471,NA,1095,987,1095,987
199,3,99,4,99,124,NA,419,NA,1156,1967,1156,1967
200,2,99,3,99,476,NA,17,NA,992,1049,992,1049
201,2,99,3,99,478,NA,116,NA,994,1148,994,1148
202,4,99,4,99,156,NA,22,NA,1704,1570,1704,1570
203,4,99,3,99,62,NA,393,NA,1610,1425,1610,1425
204,2,99,3,99,448,NA,124,NA,964,1156,964,1156
205,2,14,2,99,400,168,438,NA,916,954,916,954
206,3,99,3,99,69,NA,164,NA,1101,1196,1101,1196
207,3,99,4,99,40,NA,393,NA,1072,1941,1072,1941
208,7,99,5,99,191,NA,124,NA,3287,2188,3287,2188
209,3,99,4,99,64,NA,419,NA,1096,1967,1096,1967
210,12,2,3,99,94,29,340,NA,545,1372,545,1372
211,3,14,3,5,93,168,113,69,1125,1145,1125,1145
212,3,99,5,99,186,NA,61,NA,1218,2125,1218,2125
213,3,14,7,5,16,168,31,69,1048,2133,1048,2133
214,5,99,4,99,235,NA,174,NA,2299,1722,2299,1722
215,4,99,4,99,120,NA,386,NA,1668,1934,1668,1934
216,3,99,6,4,26,NA,205,55,1058,1603,1058,1603
217,2,99,2,99,438,NA,440,NA,954,956,954,956
218,2,99,3,2,443,NA,436,7,959,523,959,523
219,8,5,3,99,151,13,68,NA,2077,1100,2077,1100
220,5,99,5,99,280,NA,121,NA,2344,2185,2344,2185
221,2,14,2,99,451,168,379,NA,967,895,967,895
222,5,99,4,99,195,NA,140,NA,2259,1688,2259,1688
223,2,14,3,99,386,168,347,NA,902,1379,902,1379
224,2,99,2,99,408,NA,450,NA,924,966,924,966
225,4,99,5,99,73,NA,74,NA,1621,2138,1621,2138
226,3,10,3,99,71,135,197,NA,1103,1229,1103,1229
227,6,99,3,4,67,NA,178,52,2647,1210,2647,1210
228,7,4,4,99,191,38,30,NA,1586,1578,1586,1578
229,2,99,2,99,479,NA,452,NA,995,968,995,968
230,2,99,3,99,437,NA,96,NA,953,1128,953,1128
231,4,99,3,99,77,NA,92,NA,1625,1124,1625,1124
232,3,14,2,5,64,168,451,10,1096,967,1096,967
233,4,99,3,4,19,NA,147,52,1567,1179,1567,1179
234,4,99,5,99,404,NA,351,NA,1952,2415,1952,2415
235,4,14,3,99,93,168,88,NA,1641,1120,1641,1120
236,8,2,3,99,151,11,71,NA,527,1103,527,1103
237,3,10,5,2,161,135,146,6,1193,522,1193,522
238,3,99,3,2,56,NA,419,6,1088,522,1088,522
239,2,99,4,99,414,NA,133,NA,930,1681,930,1681
240,4,10,3,99,146,135,135,NA,1694,1167,1694,1167
