"","TMask1.RESP.Trial.","TMask2.RESP.Trial.","TMask3.RESP.Trial.","TMask4.RESP.Trial.","TMask5.RESP.Trial.","TMask6.RESP.Trial.","TMask7.RESP.Trial.","TMask8.RESP.Trial.","TMask9.RESP.Trial.","TMask10.RESP.Trial.","TMask11.RESP.Trial.","TMask12.RESP.Trial.","TMask13.RESP.Trial.","TMask14.RESP.Trial.","TMask15.RESP.Trial.","TMask16.RESP.Trial.","TMask17.RESP.Trial.","TMask18.RESP.Trial.","TMask1.RT.Trial.","TMask2.RT.Trial.","TMask3.RT.Trial.","TMask4.RT.Trial.","TMask5.RT.Trial.","TMask6.RT.Trial.","TMask7.RT.Trial.","TMask8.RT.Trial.","TMask9.RT.Trial.","TMask10.RT.Trial.","TMask11.RT.Trial.","TMask12.RT.Trial.","TMask13.RT.Trial.","TMask14.RT.Trial.","TMask15.RT.Trial.","TMask16.RT.Trial.","TMask17.RT.Trial.","TMask18.RT.Trial."
"1",0,0,"0","{SPACE}","0","{SPACE}","0","{SPACE}",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,15,0,221,0,202,0,303,0,0,0,0,0,0,0,0
"2",0,0,"0","{SPACE}","{SPACE}","{SPACE}","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,440,81,345,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,179,231,0,6,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,"0","0","0","{SPACE}","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,223,292,0,0,22,0,0,0,0,0,0,0,0
"5",0,0,"0","{SPACE}","0","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,"0","{SPACE}","0","0","0","{SPACE}",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,202,0,303,0,0,0,0,0,0,0,0
"7",0,0,"0","0","{SPACE}","0","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,22,0,0,0,0,0,0,0,0
"8",0,0,"0","{SPACE}","{SPACE}","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,47,307,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,"0","{SPACE}","0","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,434,0,0,348,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,228,0,229,0,0,303,0,0,0,0,0,0,0,0
"11",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,211,0,113,0,0,22,0,0,0,0,0,0,0,0
"12",0,0,"0","0","0","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,"0","{SPACE}","0","{SPACE}","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,242,0,345,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,"0","0","0","{SPACE}","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,303,0,0,0,0,0,0,0,0
"15",0,0,"0","{SPACE}","0","{SPACE}","0","{SPACE}",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,198,0,221,0,202,0,303,0,0,0,0,0,0,0,0
"16",0,0,"0","{SPACE}","0","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,242,182,0,65,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,"0","{SPACE}","{SPACE}","0","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,202,40,0,0,0,0,22,0,0,0,0,0,0,0,0
"19",0,0,"0","{SPACE}","{SPACE}","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,384,133,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,"0","{SPACE}","{SPACE}","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,151,420,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,"{SPACE}","{SPACE}","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,465,124,266,0,348,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,282,123,390,65,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,140,0,292,0,0,22,0,0,0,0,0,0,0,0
"24",0,0,"0","{SPACE}","0","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,317,0,0,395,0,0,22,0,0,0,0,0,0,0,0
"25",0,0,"0","{SPACE}","{SPACE}","0","0","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,311,351,0,0,0,0,22,0,0,0,0,0,0,0,0
"26",0,0,"0","{SPACE}","0","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,76,0,0,113,0,0,22,0,0,0,0,0,0,0,0
"27",0,0,"0","0","0","{SPACE}","0","{SPACE}",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,202,0,303,0,0,0,0,0,0,0,0
"28",0,0,"0","{SPACE}","0","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,149,0,0,348,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,350,390,65,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,383,0,229,0,0,303,0,0,0,0,0,0,0,0
"31",0,0,"0","{SPACE}","0","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,288,0,0,117,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,"0","0","{SPACE}","{SPACE}","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,414,345,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,378,259,0,229,0,0,303,0,0,0,0,0,0,0,0
"34",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,432,409,0,113,0,0,22,0,0,0,0,0,0,0,0
"35",0,0,"0","0","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,202,0,348,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,"0","0","0","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,296,200,0,113,0,0,22,0,0,0,0,0,0,0,0
"38",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,184,211,0,113,0,0,22,0,0,0,0,0,0,0,0
"39",0,0,"0","{SPACE}","{SPACE}","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,289,121,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,"0","0","0","0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,"0","0","{SPACE}","{SPACE}","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,262,345,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,"0","0","0","0","{SPACE}","0",0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,303,0,0,0,0,0,0,0,0
"43",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,109,112,0,348,0,0,0,0,0,0,0,0,0,0,0
