"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",6,7,4,99,223,21,15,NA,2803,1563
"2",5,99,4,99,194,NA,440,NA,2258,1988
"3",4,15,4,9,224,5,179,106,1772,1727
"4",4,8,6,11,119,39,223,110,1667,2803
"5",99,8,4,11,NA,23,425,110,3635,1973
"6",4,7,4,99,268,21,51,NA,1816,1599
"7",4,7,5,6,291,17,51,48,1839,2115
"8",5,8,4,11,196,23,47,110,2260,1595
"9",6,8,4,5,326,65,434,50,2906,1982
"10",1,15,5,99,20,5,228,NA,536,2292
"11",4,8,5,11,367,39,211,110,1915,2275
"12",7,8,7,11,227,65,117,110,3323,3213
"13",99,3,4,99,NA,32,242,NA,1064,1790
"14",5,7,6,99,198,26,414,NA,2262,2994
"15",4,7,4,99,407,21,198,NA,1955,1746
"16",6,4,4,11,223,61,371,110,1609,1919
"17",99,5,4,9,NA,39,242,106,2103,1790
"18",4,7,4,6,36,17,202,48,1584,1750
"19",5,7,4,9,299,17,384,106,2363,1932
"20",4,8,4,6,314,65,151,44,1862,1699
"21",5,8,3,11,326,23,465,110,2390,1497
"22",5,7,4,9,181,17,282,106,2245,1830
"23",4,8,5,3,442,39,140,40,1990,1072
"24",5,8,4,11,22,65,317,110,2086,1865
"25",4,7,4,6,192,17,311,48,1740,1859
"26",3,7,4,11,421,17,76,110,1453,1624
"27",4,7,6,99,62,21,221,NA,1610,2801
"28",99,8,4,5,NA,65,149,50,3677,1697
"29",5,7,5,9,207,17,350,106,2271,2414
"30",7,15,5,99,312,5,383,NA,3408,2447
"31",6,8,4,11,311,65,288,110,2891,1836
"32",5,15,5,99,308,5,414,NA,2372,2478
"33",5,15,4,99,52,5,378,NA,2116,1926
"34",4,7,4,11,216,17,432,110,1764,1980
"35",4,8,5,11,216,65,202,110,1764,2266
"36",4,8,7,3,344,65,348,43,1892,1075
"37",5,7,4,11,231,17,296,110,2295,1844
"38",4,8,4,11,159,39,184,110,1707,1732
"39",5,3,4,11,38,21,289,110,1053,1837
"40",4,7,99,9,284,17,NA,106,1832,4234
"41",5,99,5,99,342,NA,262,NA,2406,2326
"42",5,15,7,99,254,5,229,NA,2318,3325
"43",6,8,4,11,174,65,109,110,2754,1657
"44",4,8,5,6,298,65,238,44,1846,2302
"45",5,8,5,11,409,39,363,110,2473,2427
"46",4,15,4,99,330,5,440,NA,1878,1988
"47",4,7,4,9,320,17,160,106,1868,1708
"48",4,7,4,9,181,17,351,106,1729,1899
"49",5,8,7,5,129,23,348,50,2193,2114
"50",4,8,5,11,280,39,23,110,1828,2087
"51",6,4,6,11,286,43,335,110,1591,2915
"52",6,3,99,6,311,39,NA,44,1071,2624
"53",99,4,5,11,NA,39,132,110,1587,2196
"54",5,3,7,9,299,10,65,106,1042,3161
"55",4,15,4,99,327,5,326,NA,1875,1874
"56",5,8,6,11,20,65,371,110,2084,2951
"57",5,15,4,9,268,5,190,106,2332,1738
"58",6,4,99,4,306,16,NA,26,1564,1574
"59",4,15,6,99,67,5,338,NA,1615,2918
"60",4,7,99,11,118,21,NA,110,1666,5270
"61",9,15,4,9,191,5,261,106,4319,1809
"62",6,8,5,11,306,23,14,110,2886,2078
"63",5,15,4,99,370,5,346,NA,2434,1894
"64",4,15,4,99,307,5,345,NA,1855,1893
"65",8,15,5,99,296,5,36,NA,3908,2100
"66",4,8,5,11,155,39,5,110,1703,2069
"67",4,15,5,9,261,5,231,106,1809,2295
"68",4,7,4,9,362,17,223,106,1910,1771
"69",6,4,4,6,311,39,359,44,1587,1907
"70",4,8,4,11,333,23,230,110,1881,1778
"71",5,8,5,11,372,23,70,110,2436,2134
"72",4,8,7,4,406,39,113,10,1954,1558
"73",5,8,5,11,82,23,266,110,2146,2330
"74",3,99,4,99,382,NA,301,NA,1414,1849
"75",99,7,3,11,NA,17,292,110,3113,1324
"76",4,15,4,99,295,5,271,NA,1843,1819
"77",5,8,4,11,186,65,42,110,2250,1590
"78",4,7,4,9,337,17,178,106,1885,1726
"79",7,15,4,99,89,5,344,NA,3185,1892
"80",4,8,10,11,90,65,22,110,1638,4666
"81",5,8,5,11,322,65,397,110,2386,2461
"82",4,8,7,11,287,65,395,110,1835,3491
"83",4,8,4,11,332,23,426,110,1880,1974
"84",4,7,4,11,155,17,386,110,1703,1934
"85",6,4,4,11,154,23,411,110,1571,1959
"86",4,7,10,6,155,17,22,48,1703,2628
"87",5,15,4,99,279,5,287,NA,2343,1835
"88",6,7,4,6,189,17,284,48,2769,1832
"89",4,8,4,11,174,39,310,110,1722,1858
"90",4,8,4,11,366,23,330,110,1914,1878
"91",6,8,4,11,341,23,239,110,2921,1787
"92",5,8,5,11,38,23,121,110,2102,2185
"93",4,15,4,99,410,5,64,NA,1958,1612
"94",6,7,5,11,374,17,409,110,2954,2473
"95",4,15,4,99,359,5,399,NA,1907,1947
"96",4,7,4,99,6,21,54,NA,1554,1602
"97",4,8,4,11,163,39,186,110,1711,1734
"98",4,8,4,11,105,39,82,110,1653,1630
"99",4,15,4,99,445,5,166,NA,1993,1714
"100",99,15,6,4,NA,5,345,21,7229,1569
"101",4,7,4,6,414,17,299,48,1962,1847
"102",7,8,5,11,72,23,345,110,3168,2409
"103",4,15,4,99,341,5,343,NA,1889,1891
"104",99,8,5,11,NA,39,95,110,3651,2159
"105",4,7,10,4,382,17,22,6,1930,1554
"106",4,8,5,11,101,65,411,110,1649,2475
"107",5,8,4,11,345,39,77,110,2409,1625
"108",3,8,4,11,382,39,197,110,1414,1745
"109",6,8,4,11,176,23,335,110,2756,1883
"110",4,8,3,5,286,65,455,50,1834,1487
"111",5,8,4,6,172,65,444,44,2236,1992
"112",5,15,4,9,191,5,12,106,2255,1560
"113",4,8,4,11,37,23,85,110,1585,1633
"114",4,7,4,9,377,17,231,106,1925,1779
"115",5,8,4,6,274,65,332,44,2338,1880
"116",4,8,5,11,198,39,250,110,1746,2314
"117",6,4,4,11,306,46,431,110,1594,1979
"118",5,15,4,99,5,5,158,NA,2069,1706
"119",4,99,5,99,368,NA,81,NA,1916,2145
"120",4,8,4,11,241,39,155,110,1789,1703
"121",4,8,4,11,287,23,300,110,1835,1848
"122",9,5,4,99,254,19,299,NA,2083,1847
"123",4,8,4,11,347,65,356,110,1895,1904
"124",99,7,4,99,NA,21,405,NA,3117,1953
"125",4,8,4,6,305,65,411,44,1853,1959
"126",5,15,5,99,319,5,259,NA,2383,2323
"127",5,8,4,11,225,39,303,110,2289,1851
"128",8,5,4,99,246,47,247,NA,2111,1795
"129",99,7,8,99,NA,26,151,NA,3122,3763
"130",4,8,7,3,154,39,113,17,1702,1049
"131",4,15,4,99,288,5,437,NA,1836,1985
"132",4,8,6,4,312,23,36,32,1860,1580
"133",4,8,4,11,281,39,379,110,1829,1927
"134",5,7,5,3,103,17,182,11,2167,1043
"135",4,8,3,11,307,23,423,110,1855,1455
"136",4,8,4,11,323,23,252,110,1871,1800
"137",3,15,6,9,391,5,170,106,1423,2750
"138",6,15,4,5,59,5,348,71,2639,1896
"139",4,8,4,11,417,65,108,110,1965,1656
"140",5,7,4,6,62,17,221,48,2126,1769
"141",4,15,4,99,296,5,101,NA,1844,1649
"142",4,7,4,6,53,17,230,48,1601,1778
"143",6,7,4,6,248,17,309,48,2828,1857
"144",4,7,10,4,254,17,22,28,1802,1576
"145",3,8,5,11,382,65,112,110,1414,2176
"146",4,7,5,6,161,17,222,48,1709,2286
"147",6,8,5,6,286,65,420,44,2866,2484
"148",6,8,4,11,154,23,173,110,2734,1721
"149",4,8,5,11,325,23,245,110,1873,2309
"150",5,8,6,11,245,23,36,110,2309,2616
"151",5,8,4,11,302,65,70,110,2366,1618
"152",8,4,6,99,296,40,387,NA,1588,2967
"153",5,15,3,9,14,5,435,106,2078,1467
"154",4,15,4,99,330,5,349,NA,1878,1897
"155",4,7,4,6,181,17,121,48,1729,1669
"156",4,7,3,9,345,17,381,106,1893,1413
"157",5,8,6,11,180,65,145,110,2244,2725
"158",4,15,4,99,174,5,235,NA,1722,1783
"159",4,8,7,11,376,39,392,110,1924,3488
"160",4,7,5,9,0,17,285,106,1548,2349
"161",99,9,4,9,NA,60,335,106,4188,1883
"162",6,4,5,6,374,53,271,48,1601,2335
"163",4,7,5,9,185,17,133,106,1733,2197
"164",4,7,5,11,187,17,200,110,1735,2264
"165",4,8,5,11,51,39,140,110,1599,2204
"166",6,8,7,11,45,65,292,110,2625,3388
"167",4,7,5,6,122,17,351,48,1670,2415
"168",3,15,3,4,430,5,430,21,1462,1462
"169",4,8,4,11,282,65,27,110,1830,1575
"170",4,8,4,11,18,23,124,110,1566,1672
"171",6,7,4,99,5,21,386,NA,2585,1934
"172",5,8,7,11,222,23,348,110,2286,3444
"173",7,15,4,99,371,5,406,NA,3467,1954
"174",5,7,8,4,308,21,202,57,2372,1605
"175",4,7,4,11,278,17,440,110,1826,1988
"176",5,7,4,9,5,17,222,106,2069,1770
"177",5,7,4,9,225,17,369,106,2289,1917
"178",5,8,5,6,311,65,127,44,2375,2191
"179",4,15,4,9,427,5,349,106,1975,1897
"180",4,8,4,11,341,23,373,110,1889,1921
"181",6,4,7,11,306,27,371,110,1575,3467
"182",5,8,4,5,300,39,225,75,2364,1773
"183",3,8,7,5,334,39,292,75,1366,2139
"184",4,8,4,6,132,65,43,44,1680,1591
"185",4,8,7,11,363,39,113,110,1911,3209
"186",6,4,5,11,306,53,307,110,1601,2371
"187",6,4,5,11,306,41,303,110,1589,2367
"188",5,7,8,99,264,21,202,NA,2328,3814
"189",3,4,5,6,423,53,40,48,1455,2104
"190",3,8,4,11,350,23,400,110,1382,1948
"191",4,15,4,99,432,5,404,NA,1980,1952
"192",4,8,4,11,268,39,346,110,1816,1894
"193",3,8,3,6,434,65,303,44,1466,1335
"194",6,3,5,11,306,44,259,110,1076,2323
"195",4,8,5,11,446,39,252,110,1994,2316
"196",4,8,5,11,252,23,169,110,1800,2233
"197",4,99,4,99,346,NA,381,NA,1894,1929
"198",4,7,4,9,227,17,274,106,1775,1822
"199",3,7,6,9,273,17,390,106,1305,2970
"200",6,7,4,9,117,17,267,106,2697,1815
"201",4,15,4,99,330,5,293,NA,1878,1841
"202",4,15,6,3,261,5,345,20,1809,1052
"203",4,8,5,11,382,23,108,110,1930,2172
"204",5,8,5,11,357,39,249,110,2421,2313
"205",4,15,4,99,247,5,374,NA,1795,1922
"206",4,8,4,11,44,39,224,110,1592,1772
"207",6,4,4,11,306,63,387,110,1611,1935
"208",3,4,4,11,408,61,213,110,1440,1761
"209",4,99,5,99,428,NA,194,NA,1976,2258
"210",6,15,5,99,132,5,387,NA,2712,2451
"211",5,15,4,99,5,5,113,NA,2069,1661
"212",4,8,4,6,289,65,207,44,1837,1755
"213",4,7,4,11,343,17,16,110,1891,1564
"214",4,15,7,9,278,5,6,106,1826,3102
"215",4,8,4,11,141,65,435,110,1689,1983
"216",4,8,4,11,138,39,368,110,1686,1916
"217",5,15,4,9,151,5,269,106,2215,1817
"218",4,7,6,99,178,26,406,NA,1726,2986
"219",9,99,6,99,254,NA,345,NA,4382,2925
"220",5,7,4,6,127,17,138,48,2191,1686
"221",8,15,5,99,246,5,137,NA,3858,2201
"222",4,7,3,99,313,21,458,NA,1861,1490
"223",99,5,5,9,NA,56,123,106,2120,2187
"224",4,5,4,9,420,39,195,106,1968,1743
"225",4,7,4,6,296,17,271,48,1844,1819
"226",4,7,10,99,272,26,303,NA,1820,4947
"227",7,4,4,99,371,21,431,NA,1569,1979
"228",4,8,4,11,10,39,352,110,1558,1900
"229",4,8,4,11,86,39,347,110,1634,1895
"230",4,7,5,9,192,17,44,106,1740,2108
"231",4,7,4,6,379,17,381,48,1927,1929
"232",6,15,7,99,234,5,223,NA,2814,3319
"233",4,7,5,9,331,17,182,106,1879,2246
"234",5,15,4,99,192,5,14,NA,2256,1562
"235",5,3,5,3,225,28,23,18,1060,1050
"236",4,8,4,11,219,39,353,110,1767,1901
"237",8,15,99,5,322,5,NA,71,3934,2135
"238",5,7,4,99,426,21,241,NA,2490,1789
"239",4,15,4,99,31,5,373,NA,1579,1921
"240",4,8,4,11,339,23,330,110,1887,1878
