"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",8,5,3,11,86,23,415,48,2087,1447
"2",5,99,5,11,51,NA,251,48,2115,2315
"3",4,99,5,11,64,NA,93,48,1612,2157
"4",4,8,3,7,254,101,191,81,1802,1223
"5",6,8,5,7,70,101,33,81,2650,2097
"6",6,8,5,7,72,101,108,81,2652,2172
"7",7,8,5,7,194,101,127,81,3290,2191
"8",6,99,4,11,141,NA,329,48,2721,1877
"9",6,99,3,11,304,NA,280,48,2884,1312
"10",4,99,4,11,347,NA,75,48,1895,1623
"11",3,99,99,6,223,NA,NA,69,1255,2649
"12",5,99,5,11,66,NA,92,48,2130,2156
"13",6,99,99,4,152,NA,NA,14,2732,1562
"14",5,9,7,11,334,121,84,48,2398,3180
"15",4,99,4,6,375,NA,4,69,1923,1552
"16",4,99,3,7,76,NA,390,81,1624,1422
"17",5,99,5,11,94,NA,51,48,2158,2115
"18",5,8,10,6,235,101,59,34,2299,2614
"19",5,99,4,11,10,NA,167,48,2074,1715
"20",7,8,4,11,240,101,164,48,3336,1712
"21",4,99,3,11,250,NA,293,48,1798,1325
"22",5,7,10,11,223,85,123,48,2287,4767
"23",5,8,5,3,389,101,383,11,2453,1043
"24",4,8,4,11,231,101,66,48,1779,1614
"25",4,99,4,11,249,NA,256,48,1797,1804
"26",5,8,5,99,240,62,17,NA,2304,2081
"27",4,7,4,11,311,88,313,48,1859,1861
"28",4,99,5,3,228,NA,43,2,1776,1034
"29",7,99,5,11,181,NA,34,48,3277,2098
"30",4,99,5,11,372,NA,143,48,1920,2207
"31",5,8,4,7,159,101,132,81,2223,1680
"32",7,99,6,99,40,NA,225,NA,3136,2805
"33",4,99,5,11,346,NA,43,48,1894,2107
"34",3,8,4,11,157,101,214,48,1189,1762
"35",5,8,5,11,23,101,220,48,2087,2284
"36",5,8,4,99,109,62,200,NA,2173,1748
"37",6,7,8,5,256,86,109,28,2836,2092
"38",99,7,5,11,NA,88,312,48,3184,2376
"39",5,7,6,99,168,86,174,NA,2232,2754
"40",6,99,4,5,154,NA,322,55,2734,1870
"41",4,99,6,11,64,NA,299,48,1612,2879
"42",4,99,5,6,181,NA,85,69,1729,2149
"43",5,99,4,11,25,NA,69,48,2089,1617
"44",6,8,5,99,93,62,60,NA,2673,2124
"45",3,99,4,11,418,NA,317,48,1450,1865
"46",3,8,4,7,452,101,449,81,1484,1997
"47",5,7,5,11,159,88,55,48,2223,2119
"48",3,99,5,11,313,NA,160,48,1345,2224
"49",7,4,4,11,240,40,235,48,1588,1783
"50",4,99,7,11,159,NA,68,48,1707,3164
"51",5,99,6,11,103,NA,10,48,2167,2590
"52",4,8,5,7,66,101,383,81,1614,2447
"53",4,99,1,11,439,NA,228,48,1987,744
"54",4,99,7,5,202,NA,48,55,1750,2119
"55",6,99,4,11,6,NA,210,48,2586,1758
