ExperimentName,Subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,PathLength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli2,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,TRecogniseTarget
NetworksDemasking,38,1,S2,213,4,-0.38,-0.687,-0.609,-0.359,C1,8.341,6.965,17.188294,-0.484,7,7.653,-0.5335,3,D E P R E S S E D,DEPRESSED{SPACE},2282,1,A D O R E,ADORE{SPACE},1226,3,1,1,1826,1727
NetworksDemasking,38,1,S2,60,5,0.14,-0.573,-0.068,-0.369,C2,10.471,9.112,25.121942,-0.2185,9,9.7915,-0.2165,3,I N S T R U C T I O N,INSTRUCTION{SPACE},2640,2,A D V I S E,ADVISE{SPACE},2279,2,1,1,3279,2720
NetworksDemasking,38,1,S2,97,2,-0.208,-0.313,-0.299,-0.582,C3,8.993,12.059,6.827924,-0.4405,7,10.526,-0.2605,4,O F F E N S E,OFFENSE{SPACE},2629,3,A G A I N S T,AGAINST{SPACE},1576,2,1,1,2188,1727
NetworksDemasking,38,1,S2,80,2,-0.152,-0.482,-0.287,-0.417,C4,7.013,7.961,8.897509,-0.352,9,7.487,-0.317,4,T Y P E W R I T E R,TYPEWRITER{SPACE},1978,4,A L P H A B E T,ALPHABET{SPACE},2419,2,1,1,1812,1870
NetworksDemasking,38,1,S2,26,5,-0.403,-0.414,-0.671,-0.181,C5,11.715,9.095,23.644901,-0.426,4,10.405,-0.4085,2,S O U N D,SOUND{SPACE},1826,5,A M P,AMP{SPACE},1252,1,1,1,3183,2250
NetworksDemasking,38,1,S2,154,4,-0.467,-0.275,-0.653,-0.648,C6,9.465,8.595,18.352422,-0.6505,6.5,9.03,-0.371,4,P H R A S E,PHRASE{SPACE},2258,6,A N A L Y Z E,ANALYZE{SPACE},2633,3,1,1,2202,1673
NetworksDemasking,38,1,S2,41,5,-0.724,-0.291,-0.811,-0.613,C7,10.399,9.266,20.271021,-0.712,5,9.8325,-0.5075,15,H E A V Y,HEAVE{SPACE},9949,7,A N G L E,ANGLE{SPACE},1754,3,0,1,1571,2215
NetworksDemasking,38,1,S2,208,3,-0.306,-0.546,-0.378,-0.812,C8,6.925,9.506,12.637916,-0.595,5.5,8.2155,-0.426,4,A P A T H Y,APATHY{SPACE},2725,8,A N G R Y,ANGRY{SPACE},1099,2,1,1,1488,1224
NetworksDemasking,38,1,S2,38,3,-0.691,0.551,-0.812,0.767,C9,9.518,5.704,10.090489,-0.0225,8,7.611,-0.07,6,K I L L E R,KILLER{SPACE},1422,9,A N N I H I L A T E,ANNIHILATE{SPACE},2535,3,1,1,2193,3837
NetworksDemasking,38,1,S2,143,4,-0.163,-0.178,-0.037,-0.586,C10,6.006,7.888,16.652638,-0.3115,6.5,6.947,-0.1705,4,B E A K E R,BEAKER{SPACE},1873,10,A N X I E T Y,ANXIETY{SPACE},2508,3,1,1,2115,1863
NetworksDemasking,38,1,S2,239,3,-0.162,-0.358,0.198,-0.492,C11,4.942,9.948,12.786301,-0.147,8.5,7.445,-0.26,3,B A L L E R I N A,BALLERINA{SPACE},1961,11,A U D I E N C E,AUDIENCE{SPACE},1931,3,1,1,1706,1594
