ExperimentName,Subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,PathLength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli3,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,RTRecogniseTarget
NetworksDemasking,39,1,S3,28,4,-0.363,-0.771,-0.627,-0.801,D1,7.756,11.261,16.559298,-0.714,6.5,9.5085,-0.567,4,S H A M P O O,{SHIFT}Shampoo{SPACE},1625,1,A C T I O N,{SHIFT}Action{SPACE},1419,3,1,1,992,977
NetworksDemasking,39,1,S3,207,4,-0.026,-0.862,-0.492,-0.859,D2,9.038,9.371,17.637395,-0.6755,6,9.2045,-0.444,3,S T R I C T,{SHIFT}Strict{SPACE},1614,2,A D U L T S,{SHIFT}Adults{SPACE},1445,2,1,1,2279,1302
NetworksDemasking,39,1,S3,158,3,-0.736,-0.599,-0.614,-0.316,D3,11.62,7.555,17.777589,-0.465,7,9.5875,-0.6675,2,W O M E N,{SHIFT}Women{SPACE},2838,3,A F F E C T I O N,{SHIFT}Affection{SPACE},2259,3,1,1,904,1268
NetworksDemasking,39,1,S3,53,5,-0.41,0.248,-0.18,-0.031,D4,6.652,7.73,23.037556,-0.1055,5.5,7.191,-0.081,4,N E U R O N,{SHIFT}Neuron{SPACE},1565,4,A L G A E,{SHIFT}Algae{SPACE},3204,3,1,1,1614,2236
NetworksDemasking,39,1,S3,21,3,-0.393,-0.295,-0.367,-0.478,D5,7.002,8.262,11.203163,-0.4225,5.5,7.632,-0.344,4,D I A P E R,{SHIFT}Diaper{SPACE},1616,5,A N N O Y,{SHIFT}Annoy{SPACE},1287,3,1,1,2814,1787
NetworksDemasking,39,1,S3,120,2,-0.333,-0.542,-0.309,-0.583,D6,7.566,9.945,10.379378,-0.446,7,8.7555,-0.4375,2,H O S T I L I T Y,{SHIFT}Hostility{SPACE},1877,6,A R G U E,{SHIFT}Argue{SPACE},1545,2,1,1,1555,1092
NetworksDemasking,39,1,S3,169,3,-0.147,-0.732,-0.025,-0.611,D7,7.048,10.435,13.144312,-0.318,4,8.7415,-0.4395,4,P I E R,{SHIFT}Pier{SPACE},2162,7,A R M Y,{SHIFT}Army{SPACE},1201,3,1,1,2948,966
NetworksDemasking,39,1,S3,50,4,-0.791,-0.643,-0.368,-0.671,D8,8.957,9.741,17.519595,-0.5195,5.5,9.349,-0.717,15,R O C K S,{SHIFT}Rocks{SPACE},1005,8,A R T I S T,{SHIFT}Artist{SPACE},1932,3,1,1,2194,1211
NetworksDemasking,39,1,S3,3,Inf,-0.344,0.247,-0.103,-0.076,D9,5.118,6.849,Inf,-0.0895,6.5,5.9835,-0.0485,3,A D J O U R N,{SHIFT}Adjourn{SPACE},2104,9,A S C E N T,{SHIFT}Ascent{SPACE},2066,2,1,1,2074,5197
NetworksDemasking,39,1,S3,10,2,-0.505,-0.416,-0.578,-0.47,D10,9.902,8.242,11.047397,-0.524,6,9.072,-0.4605,2,F A U L T,{SHIFT}Fault{SPACE},1191,10,A S H A M E D,{SHIFT}Ashamed{SPACE},1527,2,1,1,1041,1888
